SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
11/27/20,20.80678187,20.093966465,19.60275777,5.311125945,6.62091446
11/28/20,4.58238194,6.869087351,-0.8655171,10.256960613,18.8453197
11/29/20,5.4156744,5.14999958,4.44424737,4.18280562,4.53509217
11/30/20,9.16994338,10.42701358,7.31368548,4.95282584,6.79717548
12/01/20,-6.27481345,6.169855993,-24.36499091,15.198682577,27.4159688
12/02/20,13.67092582,13.6395446,13.94431273,1.3903352,1.84036391
12/03/20,16.50522139,15.2596438,15.04194522,4.00222173,4.39847419
12/04/20,12.73724692,11.234369,13.94994158,3.60145372,6.39579626
12/05/20,-12.26928506,-5.765486956,-21.44516839,10.649139486,20.98345917
12/06/20,-10.48408475,-8.113907988,-16.74479672,6.966586618,13.07550225
12/07/20,-3.36950711,2.866054489,-10.22459256,9.537599521,17.09682661
12/08/20,11.13217747,11.388353152,11.83972846,1.680139838,1.74666915
12/09/20,8.18627877,8.359308951,7.54320547,3.382482949,4.64747776
12/10/20,-3.72662918,1.615534186,-17.78274341,10.354628786,24.03357391
12/11/20,-4.88873956,0.375564407,-11.71339465,8.766861065,15.07927591
12/12/20,3.93682486,4.784179435,-0.01104163,8.789121285,7.70684279
12/13/20,7.51545234,6.071189089,7.8239892,4.269717291,5.03876964
12/14/20,22.62522429,21.48435182,21.96480031,4.69664365,6.71401722
12/15/20,12.88059814,11.713407558,11.82849435,4.442103322,6.28274715
12/16/20,9.71468427,10.130621106,12.43225877,2.29796069,3.48982642
12/17/20,-2.58144742,5.32981674,0.7617329,11.37581658,15.93614786
12/18/20,2.59036792,6.907973398,-2.49444462,7.249207993,15.79447554
12/19/20,8.32069051,8.1464254,8.89546002,1.70829403,2.05141871
12/20/20,13.08807195,12.855762867,12.77397056,2.054862683,2.79578479
12/21/20,9.43487656,10.36831833,10.02694746,5.055058278,6.37655078
12/22/20,2.26580763,5.071296029,0.80669099,6.043726699,7.64780236
12/23/20,9.37852587,9.38281177,10.47029308,0.91337754,1.65435681
12/24/20,3.86491794,3.371229762,5.37109016,3.232156984,3.21486868
12/25/20,5.98987605,6.096575566,5.16858657,2.086655472,3.08034452
12/26/20,4.25236044,5.347106275,5.19682088,2.854128855,3.78254112
12/27/20,-0.5189339,-0.005901804,0.55161319,5.068374824,6.24714709
12/28/20,1.84436703,3.088712497,1.58705422,3.975789327,4.63934185
12/29/20,6.90851414,6.524328351,6.39939914,1.792116935,2.0810729
12/30/20,2.95313154,4.033862788,-5.9787956,3.651136112,9.85974036
12/31/20,1.17128681,1.996063069,-4.01919076,3.456793501,8.46164867
